Word;count_word;frequency
small;1;1.6129032258064515
but;1;1.6129032258064515
don't;1;1.6129032258064515
counts;1;1.6129032258064515
about;1;1.6129032258064515
feel;1;1.6129032258064515
run;1;1.6129032258064515
Success;1;1.6129032258064515
that;1;1.6129032258064515
beautiful;1;1.6129032258064515
path;1;1.6129032258064515
proof;1;1.6129032258064515
they;1;1.6129032258064515
still;1;1.6129032258064515
curious;1;1.6129032258064515
like;1;1.6129032258064515
going;1;1.6129032258064515
might;1;1.6129032258064515
However;1;1.6129032258064515
come;1;1.6129032258064515
Just;1;1.6129032258064515
most;1;1.6129032258064515
trying;1;1.6129032258064515
hardest;1;1.6129032258064515
be;1;1.6129032258064515
mistakes;1;1.6129032258064515
learning;1;1.6129032258064515
climbs;1;1.6129032258064515
long;1;1.6129032258064515
remember;1;1.6129032258064515
not;1;1.6129032258064515
you're;1;1.6129032258064515
after;1;1.6129032258064515
just;1;1.6129032258064515
make;1;1.6129032258064515
every;1;1.6129032258064515
Stay;1;1.6129032258064515
views;1;1.6129032258064515
foggy;1;1.6129032258064515
standing;1;1.6129032258064515
fast;1;1.6129032258064515
Sometimes;1;1.6129032258064515
afraid;1;1.6129032258064515
step;1;1.6129032258064515
to;1;1.6129032258064515
is;2;3.225806451612903
keep;2;3.225806451612903
how;2;3.225806451612903
are;2;3.225806451612903
and;2;3.225806451612903
the;3;4.838709677419355
you;4;6.451612903225806
